journal,role,name,affiliation
"Global Review of Humanities, Arts, and Society",Editorial Board Member,Prof. Xiao Huang,"Public Administration, Krirk University, Bangkok, Thailand"
"Global Review of Humanities, Arts, and Society",Editorial Board Member,Dr. Jun Gui,"Guangzhou Huali College, Guangzhou, China"
"Global Review of Humanities, Arts, and Society",Early Career Editorial Board,Dr. Yixin Chen,"School of Marxism, Northeast Normal University, Changchun, China"
"Global Review of Humanities, Arts, and Society",International Advisory Board,Prof. Jooyoung Kim,"College of Arts and Culture, Kangwon National University, South Korea"
"Global Review of Humanities, Arts, and Society",International Advisory Board,Prof. Yosuke Uchiyama,"Department of Urban and Regional Planning, Chulalongkorn University, Bangkok, Thailand"
"Global Review of Humanities, Arts, and Society",International Advisory Board,Dr. Zeyu Wang,"Graduate School, Kyung Hee University, South Korea"
"Global Review of Humanities, Arts, and Society",International Advisory Board,Prof. Yan Zhang,"School of Foreign Languages, Qilu Institute of Technology, China"
"Global Review of Humanities, Arts, and Society",International Advisory Board,Dr. Yiu Kwong Au-Yeung,"University of Metaphysical Sciences, California, USA"
Climate Sustainability & Global Systems,Editor-in-Chief,Yaolin Zhang,"Jinan University, China"
Climate Sustainability & Global Systems,Co-Editor-in-Chief,Menghui Li,"Guangzhou Institute of Geochemistry, Chinese Academy of Sciences, China"
Climate Sustainability & Global Systems,Associate Editor,Xinyan Shao,"Macau University of Science and Technology, Macau SAR, China"
Climate Sustainability & Global Systems,Associate Editor,Pengrong Huang,"South China Agricultural University, China"
Climate Sustainability & Global Systems,Associate Editor,Yiming Zou,"Fudan University, China"
Climate Sustainability & Global Systems,Editorial Board Member,Xueqing Deng,"University of Antwerp, Belgium"
"Global Review of Humanities, Arts, and Society",Editor-in-Chief,Sebastian Lenz,"Panorama Scholarly Group, Berlin, Germany"
"Global Review of Humanities, Arts, and Society",Co-Editor-in-Chief,Dr. Xinhuan Zeng,"Department of Dance, College of Performing Arts and Sport, Hanyang University, Seoul, South Korea"
